Iteration,Function Value
599,-2431.582096742247
600,-2431.586558330526
601,-2431.5967246456075
602,-2431.602809785619
603,-2431.6080320973233
604,-2431.6154087064074
605,-2431.6229443570655
606,-2431.627224754385
607,-2431.6370755117177
608,-2431.642973897411
609,-2431.6479867782277
610,-2431.6551559145682
611,-2431.6624459346667
612,-2431.6665542173364
613,-2431.676098234596
614,-2431.68181576957
615,-2431.6866290566795
616,-2431.6935963177334
617,-2431.700648362704
618,-2431.7045932964384
619,-2431.7138390213513
620,-2431.7193813763915
621,-2431.7240045543926
622,-2431.730775313673
623,-2431.737596733391
624,-2431.741386765962
625,-2431.7503423133303
626,-2431.7557149389963
627,-2431.7601571413666
628,-2431.7667365627585
629,-2431.7733344250382
630,-2431.776977683907
631,-2431.7856508660507
632,-2431.7908590041548
633,-2431.7951290174715
634,-2431.8015220680395
635,-2431.8079031786647
636,-2431.811407472005
637,-2431.8198058243015
638,-2431.8248545184624
639,-2431.828960788439
640,-2431.8351722500324
641,-2431.84134317013
642,-2431.8447159901616
643,-2431.8528467928513
644,-2431.8577408982774
645,-2431.86169153694
646,-2431.867726016833
647,-2431.873693078162
648,-2431.8769416060295
649,-2431.8848119031377
650,-2431.8895560957417
651,-2431.893358889308
652,-2431.899220830035
653,-2431.9049901486105
654,-2431.908121260284
655,-2431.9157378762593
656,-2431.9203366611964
657,-2431.9239990783376
658,-2431.929692766862
659,-2431.935270255215
660,-2431.938290528049
661,-2431.9456600825665
662,-2431.9501178022583
663,-2431.953647002536
664,-2431.9591765788355
665,-2431.9645679571468
666,-2431.967483676836
667,-2431.974612598092
668,-2431.9789334397974
669,-2431.9823362821217
670,-2431.9877057472795
671,-2431.9929165535505
672,-2431.995733721311
673,-2432.002628258058
674,-2432.0068162610287
675,-2432.010099312055
676,-2432.0153125359
677,-2432.0203481353014
678,-2432.0230724751545
679,-2432.0297387076566
680,-2432.0337977699196
681,-2432.036967312306
682,-2432.042028040667
683,-2432.0468936341613
684,-2432.0495306002276
685,-2432.055974450293
686,-2432.059908335091
687,-2432.0629703755776
688,-2432.0678822371665
689,-2432.0725828695076
690,-2432.0751376532617
691,-2432.0813648934577
692,-2432.0851772353735
693,-2432.0881375126637
694,-2432.092904025638
695,-2432.097444592787
696,-2432.099922130232
697,-2432.1059383923775
698,-2432.109632703161
699,-2432.112496695591
700,-2432.11712127381
701,-2432.1215065298506
702,-2432.123911508579
703,-2432.129722291591
704,-2432.1333019657213
705,-2432.1360748987
706,-2432.140560857698
707,-2432.1447954212836
708,-2432.147132287422
709,-2432.152742964569
710,-2432.1562112845586
711,-2432.158898137791
712,-2432.163248700488
713,-2432.167337060867
714,-2432.1696100258805
715,-2432.175025851509
716,-2432.1783859929715
717,-2432.1809915074605
